theme,label,stakeholder_documents,stakeholder_share_pct,consultations,years_present,first_year,last_year,persistence_score,cbi_documents,cbi_share_pct,industry_vs_regulator_ratio,query
ambiguity,Unclear requirements,405,24.5,78,20,2006,2026,1560,341,9.0,2.73,"""unclear"" OR ""ambiguous"" OR ""ambiguity"" OR ""further clarity"" OR ""additional clarity"" OR ""clarification is"" OR ""we would welcome clarity"""
outsourcing,Outsourcing and third parties,417,25.2,70,19,2008,2031,1330,1028,27.0,0.93,"""outsourcing"" OR ""outsourced"" OR ""third party"" OR ""third-party"" OR ""intragroup"" OR ""intra-group"""
compliance_cost,Cost and disproportionality,269,16.2,68,19,2008,2026,1292,281,7.4,2.2,"""disproportionate"" OR ""disproportionately"" OR ""cost of compliance"" OR ""compliance burden"" OR ""administrative burden"" OR ""resource intensive"" OR ""resource-intensive"" OR ""significant cost"""
proportionality,Proportionality and smaller firms,531,32.1,71,18,2009,2026,1278,692,18.2,1.76,"""proportionality"" OR ""proportionate"" OR ""smaller firms"" OR ""smaller entities"" OR ""small firms"" OR ""one size fits all"" OR ""one-size-fits-all"""
implementation_time,Implementation timelines,324,19.6,56,19,2008,2031,1064,388,10.2,1.92,"""implementation period"" OR ""lead time"" OR ""lead-in"" OR ""insufficient time"" OR ""not feasible"" OR ""transitional period"" OR ""sufficient time"""
authorisation_delay,Authorisation and approval friction,251,15.2,61,17,2007,2026,1037,723,19.0,0.8,"""authorisation process"" OR ""approval process"" OR ""application process"" OR ""delays"" OR ""timeframes"""
duplication,Duplicated effort and re-reporting,146,8.8,52,17,2008,2026,884,230,6.0,1.46,"""duplication"" OR ""duplicative"" OR ""already provided"" OR ""already reported"" OR ""same information"" OR ""multiple returns"" OR ""re-submit"" OR ""resubmit"""
fitness_probity,Individual approval and vetting,313,18.9,46,17,2010,2031,782,501,13.2,1.44,"""fitness and probity"" OR ""pre-approval"" OR ""PCF"" OR ""controlled function"""
reporting_burden,Regulatory reporting mechanics,156,9.4,47,16,2010,2031,752,694,18.2,0.52,"(reporting OR ""returns"" OR ""return"") AND (burden OR frequency OR template OR templates OR taxonomy OR XBRL)"
definitions,Definitions and inconsistency,160,9.7,48,15,2010,2025,720,125,3.3,2.94,"""definition"" AND (unclear OR inconsistent OR differs OR differ OR aligned OR alignment)"
credit_union_ops,Credit union operating constraints,486,29.3,38,16,2007,2026,608,673,17.7,1.66,"""credit union"" OR ""credit unions"" OR ""common bond"" OR ""CUSO"""
customer_comms,Customer disclosure mechanics,155,9.4,33,17,2006,2025,561,279,7.3,1.28,"""disclosure requirements"" OR ""customer communication"" OR ""information overload"" OR ""warning statement"""
systems_change,IT and system change,87,5.3,32,16,2006,2025,512,173,4.5,1.16,"""system changes"" OR ""systems changes"" OR ""IT systems"" OR ""legacy system"" OR ""legacy systems"" OR ""system build"" OR ""system development"" OR ""technology investment"""
safeguarding_ops,Safeguarding client money,108,6.5,32,15,2010,2031,480,424,11.1,0.59,"""safeguarding"" OR ""client money"" OR ""client assets"" OR ""segregation of funds"" OR ""safeguarded funds"""
switching_ops,Switching and portability mechanics,130,7.9,26,17,2009,2025,442,340,8.9,0.88,"""switching"" OR ""switch"" OR ""portability"" OR ""account transfer"""
fraud_ops,Fraud and scam handling,128,7.7,25,13,2010,2026,325,354,9.3,0.83,"fraud OR scam OR scams OR ""authorised push payment"" OR ""money mule"" OR impersonation"
manual_effort,Manual work and spreadsheets,63,3.8,24,13,2008,2025,312,252,6.6,0.58,"""manual"" OR ""manually"" OR ""spreadsheet"" OR ""spreadsheets"" OR ""re-key"" OR ""rekey"" OR ""paper-based"""
data_quality,Data quality and reconciliation,60,3.6,21,12,2010,2031,252,329,8.6,0.42,"""data quality"" OR ""data governance"" OR ""reconciliation"" OR ""reconcile"" OR ""data integrity"""
vulnerability,Vulnerable customers in practice,157,9.5,18,13,2010,2026,234,307,8.1,1.18,"""vulnerable customer"" OR ""vulnerable customers"" OR ""vulnerability"" OR ""in vulnerable circumstances"""
complaints_ops,Complaints handling operations,59,3.6,15,12,2010,2025,180,191,5.0,0.71,"""complaints handling"" OR ""complaint handling"" OR ""root cause"" OR ""root-cause"" OR ""complaints process"""
