theme,label,stakeholder_documents,stakeholder_share_pct,consultations,years_present,first_year,last_year,persistence_score,cbi_documents,cbi_share_pct,industry_vs_regulator_ratio,query
ambiguity,Unclear requirements,404,24.4,78,20,2006,2026,1560,340,8.9,2.73,"""unclear"" OR ""ambiguous"" OR ""ambiguity"" OR ""further clarity"" OR ""additional clarity"" OR ""clarification is"" OR ""we would welcome clarity"""
outsourcing,Outsourcing and third parties,417,25.2,70,19,2008,2031,1330,1026,27.0,0.93,"""outsourcing"" OR ""outsourced"" OR ""third party"" OR ""third-party"" OR ""intragroup"" OR ""intra-group"""
compliance_cost,Cost and disproportionality,269,16.2,68,19,2008,2026,1292,280,7.4,2.21,"""disproportionate"" OR ""disproportionately"" OR ""cost of compliance"" OR ""compliance burden"" OR ""administrative burden"" OR ""resource intensive"" OR ""resource-intensive"" OR ""significant cost"""
proportionality,Proportionality and smaller firms,530,32.0,71,18,2009,2026,1278,689,18.1,1.77,"""proportionality"" OR ""proportionate"" OR ""smaller firms"" OR ""smaller entities"" OR ""small firms"" OR ""one size fits all"" OR ""one-size-fits-all"""
implementation_time,Implementation timelines,323,19.5,56,19,2008,2031,1064,386,10.1,1.92,"""implementation period"" OR ""lead time"" OR ""lead-in"" OR ""insufficient time"" OR ""not feasible"" OR ""transitional period"" OR ""sufficient time"""
authorisation_delay,Authorisation and approval friction,251,15.2,61,17,2007,2026,1037,722,19.0,0.8,"""authorisation process"" OR ""approval process"" OR ""application process"" OR ""delays"" OR ""timeframes"""
duplication,Duplicated effort and re-reporting,146,8.8,52,17,2008,2026,884,229,6.0,1.47,"""duplication"" OR ""duplicative"" OR ""already provided"" OR ""already reported"" OR ""same information"" OR ""multiple returns"" OR ""re-submit"" OR ""resubmit"""
fitness_probity,Individual approval and vetting,313,18.9,46,17,2010,2031,782,497,13.1,1.45,"""fitness and probity"" OR ""pre-approval"" OR ""PCF"" OR ""controlled function"""
reporting_burden,Regulatory reporting mechanics,156,9.4,47,16,2010,2031,752,693,18.2,0.52,"(reporting OR ""returns"" OR ""return"") AND (burden OR frequency OR template OR templates OR taxonomy OR XBRL)"
definitions,Definitions and inconsistency,157,9.5,48,15,2010,2025,720,125,3.3,2.89,"""definition"" AND (unclear OR inconsistent OR differs OR differ OR aligned OR alignment)"
credit_union_ops,Credit union operating constraints,484,29.2,38,16,2007,2026,608,672,17.7,1.66,"""credit union"" OR ""credit unions"" OR ""common bond"" OR ""CUSO"""
customer_comms,Customer disclosure mechanics,154,9.3,33,17,2006,2025,561,279,7.3,1.27,"""disclosure requirements"" OR ""customer communication"" OR ""information overload"" OR ""warning statement"""
systems_change,IT and system change,85,5.1,32,16,2006,2025,512,172,4.5,1.14,"""system changes"" OR ""systems changes"" OR ""IT systems"" OR ""legacy system"" OR ""legacy systems"" OR ""system build"" OR ""system development"" OR ""technology investment"""
safeguarding_ops,Safeguarding client money,108,6.5,32,15,2010,2031,480,423,11.1,0.59,"""safeguarding"" OR ""client money"" OR ""client assets"" OR ""segregation of funds"" OR ""safeguarded funds"""
switching_ops,Switching and portability mechanics,129,7.8,26,17,2009,2025,442,340,8.9,0.87,"""switching"" OR ""switch"" OR ""portability"" OR ""account transfer"""
fraud_ops,Fraud and scam handling,127,7.7,25,13,2010,2026,325,352,9.2,0.83,"fraud OR scam OR scams OR ""authorised push payment"" OR ""money mule"" OR impersonation"
manual_effort,Manual work and spreadsheets,62,3.7,24,13,2008,2025,312,251,6.6,0.57,"""manual"" OR ""manually"" OR ""spreadsheet"" OR ""spreadsheets"" OR ""re-key"" OR ""rekey"" OR ""paper-based"""
data_quality,Data quality and reconciliation,60,3.6,21,12,2010,2031,252,328,8.6,0.42,"""data quality"" OR ""data governance"" OR ""reconciliation"" OR ""reconcile"" OR ""data integrity"""
vulnerability,Vulnerable customers in practice,156,9.4,18,13,2010,2026,234,307,8.1,1.17,"""vulnerable customer"" OR ""vulnerable customers"" OR ""vulnerability"" OR ""in vulnerable circumstances"""
complaints_ops,Complaints handling operations,57,3.4,14,12,2010,2025,168,191,5.0,0.69,"""complaints handling"" OR ""complaint handling"" OR ""root cause"" OR ""root-cause"" OR ""complaints process"""
