id,label,query,matching_documents,matching_pages,stakeholder_documents,unresolved_documents
bank_competition,Bank competition and concentration,"(bank OR banks OR banking OR lender OR lenders OR mortgage OR mortgages OR deposit OR deposits) AND (competition OR concentration OR ""market share"" OR switching)",1109,3181,347,16
mortgage_arrears,Mortgage arrears and distressed debt,mortgage AND (arrears OR restructuring OR repossession OR forbearance),617,2784,189,7
mortgage_switching,Mortgage switching and refinancing,mortgage AND (switching OR refinance OR refinancing OR cashback),284,739,58,2
sme_finance,SME finance and credit access,"(SME OR ""small business"" OR ""small and medium enterprises"") AND (credit OR lending OR finance OR funding)",464,1661,102,6
credit_unions,Credit unions,"""credit union"" OR ""credit unions""",1181,8534,482,25
consumer_harm,Consumer harm and vulnerability,(consumer OR customer) AND (harm OR vulnerable OR vulnerability OR detriment OR exploitation),609,1839,250,12
fraud_scams,"Fraud, scams and payment deception","fraud OR fraudulent OR scam OR scams OR phishing OR smishing OR vishing OR impersonation OR ""money mule"" OR ""money mules"" OR ""authorised push payment"" OR ""authorized push payment""",508,1122,131,9
aml_cft,"AML, CFT and financial crime controls","AML OR ""money laundering"" OR ""terrorist financing"" OR sanctions",939,3353,171,15
reg_reporting,Regulatory reporting burden and quality,(reporting OR returns OR submission) AND (burden OR manual OR error OR quality OR reconciliation OR duplication),957,2517,284,21
data_quality,Data quality and fragmentation,"""data quality"" OR ""data governance"" OR ""data gap"" OR ""fragmented data""",116,203,6,1
authorisation,Authorisation and licensing,"authorisation OR authorization OR licensing OR ""application process""",1381,5951,248,28
operational_resilience,Operational resilience and outsourcing,"""operational resilience"" OR outsourcing OR ""third party risk"" OR ""third-party risk"" OR ""critical third party"" OR ""business continuity"" OR DORA",645,2571,156,7
cybersecurity,Cybersecurity and ICT risk,"cybersecurity OR cyber OR ""ICT risk"" OR ransomware",223,635,35,0
payments,Payments and electronic money,"payments OR ""electronic money"" OR ""e-money"" OR ""payment institution""",1667,6373,316,23
open_banking,Open banking and data portability,"""open banking"" OR PSD2 OR AISP OR PISP OR ""account information service"" OR ""payment initiation service"" OR ""data portability""",147,404,26,0
cash_access,Cash access and infrastructure,cash AND (access OR ATM OR infrastructure OR acceptance OR withdrawal),406,841,88,5
financial_inclusion,Financial inclusion and basic access,"""financial inclusion"" OR ""basic bank account"" OR unbanked OR exclusion",406,642,178,11
insurance_protection_gap,Insurance affordability and protection gaps,"insurance AND (affordability OR availability OR exclusion OR ""protection gap"")",278,473,100,6
climate_finance,Climate and financial risk,climate AND (risk OR insurance OR lending OR finance OR transition OR physical),395,1300,95,4
funds_sector,Funds and asset management,"UCITS OR AIF OR ""investment fund"" OR ""fund management company""",994,9022,202,25
financial_literacy,Financial literacy and consumer understanding,"""financial literacy"" OR ""financial education"" OR ""consumer understanding""",184,536,81,2
complaints_redress,Complaints and consumer redress,complaints OR redress OR remediation OR compensation,1117,3190,266,32
legacy_systems,Legacy technology and manual processes,"""legacy system"" OR ""legacy systems"" OR ""manual process"" OR spreadsheets",33,46,8,1
housing_credit,"Housing, mortgages and credit supply",housing AND (mortgage OR credit OR lending OR affordability OR supply),634,2693,115,7
