theme,label,stakeholder_documents,stakeholder_share_pct,consultations,years_present,first_year,last_year,persistence_score,cbi_documents,cbi_share_pct,industry_vs_regulator_ratio,query
ambiguity,Unclear requirements,410,24.5,78,20,2006,2026,1560,340,8.9,2.75,"""unclear"" OR ""ambiguous"" OR ""ambiguity"" OR ""further clarity"" OR ""additional clarity"" OR ""clarification is"" OR ""we would welcome clarity"""
compliance_cost,Cost and disproportionality,273,16.3,68,19,2008,2026,1292,280,7.4,2.22,"""disproportionate"" OR ""disproportionately"" OR ""cost of compliance"" OR ""compliance burden"" OR ""administrative burden"" OR ""resource intensive"" OR ""resource-intensive"" OR ""significant cost"""
proportionality,Proportionality and smaller firms,537,32.1,71,18,2009,2026,1278,692,18.2,1.77,"""proportionality"" OR ""proportionate"" OR ""smaller firms"" OR ""smaller entities"" OR ""small firms"" OR ""one size fits all"" OR ""one-size-fits-all"""
outsourcing,Outsourcing and third parties,422,25.2,70,18,2008,2026,1260,1026,26.9,0.94,"""outsourcing"" OR ""outsourced"" OR ""third party"" OR ""third-party"" OR ""intragroup"" OR ""intra-group"""
authorisation_delay,Authorisation and approval friction,256,15.3,61,17,2007,2026,1037,721,18.9,0.81,"""authorisation process"" OR ""approval process"" OR ""application process"" OR ""delays"" OR ""timeframes"""
implementation_time,Implementation timelines,327,19.6,56,18,2008,2026,1008,389,10.2,1.91,"""implementation period"" OR ""lead time"" OR ""lead-in"" OR ""insufficient time"" OR ""not feasible"" OR ""transitional period"" OR ""sufficient time"""
duplication,Duplicated effort and re-reporting,148,8.9,52,17,2008,2026,884,229,6.0,1.47,"""duplication"" OR ""duplicative"" OR ""already provided"" OR ""already reported"" OR ""same information"" OR ""multiple returns"" OR ""re-submit"" OR ""resubmit"""
fitness_probity,Individual approval and vetting,314,18.8,46,16,2010,2026,736,502,13.2,1.42,"""fitness and probity"" OR ""pre-approval"" OR ""PCF"" OR ""controlled function"""
definitions,Definitions and inconsistency,161,9.6,48,15,2010,2025,720,125,3.3,2.93,"""definition"" AND (unclear OR inconsistent OR differs OR differ OR aligned OR alignment)"
reporting_burden,Regulatory reporting mechanics,157,9.4,47,15,2010,2026,705,694,18.2,0.52,"(reporting OR ""returns"" OR ""return"") AND (burden OR frequency OR template OR templates OR taxonomy OR XBRL)"
credit_union_ops,Credit union operating constraints,493,29.5,38,16,2007,2026,608,671,17.6,1.67,"""credit union"" OR ""credit unions"" OR ""common bond"" OR ""CUSO"""
customer_comms,Customer disclosure mechanics,157,9.4,33,17,2006,2025,561,278,7.3,1.29,"""disclosure requirements"" OR ""customer communication"" OR ""information overload"" OR ""warning statement"""
systems_change,IT and system change,87,5.2,32,16,2006,2025,512,173,4.5,1.15,"""system changes"" OR ""systems changes"" OR ""IT systems"" OR ""legacy system"" OR ""legacy systems"" OR ""system build"" OR ""system development"" OR ""technology investment"""
safeguarding_ops,Safeguarding client money,109,6.5,32,14,2010,2026,448,423,11.1,0.59,"""safeguarding"" OR ""client money"" OR ""client assets"" OR ""segregation of funds"" OR ""safeguarded funds"""
switching_ops,Switching and portability mechanics,131,7.8,26,17,2009,2025,442,340,8.9,0.88,"""switching"" OR ""switch"" OR ""portability"" OR ""account transfer"""
fraud_ops,Fraud and scam handling,129,7.7,25,13,2010,2026,325,354,9.3,0.83,"fraud OR scam OR scams OR ""authorised push payment"" OR ""money mule"" OR impersonation"
manual_effort,Manual work and spreadsheets,63,3.8,24,13,2008,2025,312,252,6.6,0.57,"""manual"" OR ""manually"" OR ""spreadsheet"" OR ""spreadsheets"" OR ""re-key"" OR ""rekey"" OR ""paper-based"""
complaints_ops,Complaints handling operations,62,3.7,17,14,2008,2025,238,190,5.0,0.74,"""complaints handling"" OR ""complaint handling"" OR ""root cause"" OR ""root-cause"" OR ""complaints process"""
vulnerability,Vulnerable customers in practice,158,9.4,18,13,2010,2026,234,308,8.1,1.17,"""vulnerable customer"" OR ""vulnerable customers"" OR ""vulnerability"" OR ""in vulnerable circumstances"""
data_quality,Data quality and reconciliation,60,3.6,21,11,2010,2024,231,328,8.6,0.42,"""data quality"" OR ""data governance"" OR ""reconciliation"" OR ""reconcile"" OR ""data integrity"""
